5904,ADVANCED PLACEMENT EXAMS,,
6291,ASSOCIATED EXAM BOARD A-LEVELS,,
5900,CLEP EXAMS,,
6292,EAST AFRICA A-LEVELS,,
8500,FOREIGN COLLEGE/UNIVERSITY,,
5901,HIGHER LEVEL I.B. EXAMS,,
6296,HONG KONG EXAM AUTHORITY A-LEVELS,,
7326,INST FOR CERTFCTN OF CMPTNG PROFNLS,,
6450,INTERNATIONAL BACCALAUREATE,,
5902,MILITARY SERVICE,,
5903,NATIONAL A.C.E. GUIDE,,
7338,NATIONAL COMPUTING CENTRE,,
8000,NON-IOWA COLLEGE/UNIVERSITY IN U.S.,,
6293,NORTHERN EXAM & ASSESSMENT BOARD,,
7339,NOVELL,,
6294,OXFORD-CAMBRIDGE A-LEVELS,,
6295,SINGAPORE-CAMBRIDGE A-LEVELS,,
7187,SOUTHERN UNIV JNT BRD FOR SCH EXAMS,,
6297,UNIVERSITY OF CAMBRIDGE A-LEVELS,,
6298,UNIVERSITY OF LONDON A-LEVELS,,
6299,WEST AFRICAN EXAM COUNCIL A-LEVELS,,
0065,ALASKA BIBLE COLLEGE,GLENNALLEN,AK
0062,ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK
0066,ANCHORAGE COMMUNITY COLLEGE,ANCHORAGE,AK
0063,ISLANDS COMMUNITY COLLEGE,SITKA,AK
0069,KENAI PENINSULA COMMUNITY COLLEGE,SOLDOTNA,AK
0070,KETCHIKAN COMMUNITY COLLEGE,KETCHIKAN,AK
0649,KODIAK COMMUNITY COLLEGE,KODIAK,AK
0650,KUSKOKWIM COMMUNITY COLLEGE,BETHEL,AK
0072,MATANUSKA-SUSITNA COMMUNITY COLLEGE,PALMER,AK
0652,NORTHWEST COMMUNITY COLLEGE,NOME,AK
0651,PRINCE WILLIAM SOUND COMMUNITY COLLEGE,VALDEZ,AK
0074,SHELDON JACKSON COLLEGE,SITKA,AK
0653,TANANA VALLEY COMMUNITY COLLEGE,FAIRBANKS,AK
0153,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK
0137,UNIVERSITY OF ALASKA-ANCHORAGE,ANCHORAGE,AK
0064,UNIVERSITY OF ALASKA-FAIRBANKS,FAIRBANKS,AK
5518,20TH CENTURY COLLEGE,MOBILE,AL
0548,AFROTC/RRUF,MAXWELL AFB,AL
0002,ALABAMA A & M UNIVERSITY,NORMAL,AL
0019,ALABAMA BIBLE INSTITUTE,GUIN,AL
0049,ALABAMA CHRISTIAN COLLEGE,HUNTSVILLE,AL
0008,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL
0080,ALBERT P BREWER STATE JUNIOR COLLEGE,FAYETTE,AL
0010,ATHENS STATE COLLEGE,ATHENS,AL
0011,AUBURN UNIVERSITY,AUBURN UNIVERSITY,AL
0057,AUBURN UNIVERSITY AT MONTGOMERY,MONTGOMERY,AL
0013,BIRMINGHAM BAPTIST HOSPITAL,BIRMINGHAM,AL
0001,CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL
0073,CHATTAHOOCHEE VALLEY STATE COMM COLL,PHENIX CITY,AL
0051,COMMUNITY COLLEGE OF THE AIR FORCE,MAXWELL AFB,AL
0079,CONCORDIA COLLEGE,SELMA,AL
0045,ENTERPRISE STATE JUNIOR COLLEGE,ENTERPRISE,AL
0003,FAULKNER UNIVERSITY,MONTGOMERY,AL
0077,GADSDEN STATE JUNIOR COLLEGE,GADSDEN,AL
0076,GEORGE C WALLACE STATE COMM COLLEGE,DOTHAN,AL
0082,GEORGE CORLEY WALLACE STATE COMM COLL,SELMA,AL
5126,HERZING INSTITUTE OF ALABAMA,BIRMINGHAM,AL
0005,HOLY NAME OF JESUS HOSP SCH OF NURSING,GADSDEN,AL
0018,HUNTINGDON COLLEGE,MONTGOMERY,AL
0006,INTERNATIONAL BIBLE COLLEGE,FLORENCE,AL
0020,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL
0035,JAMES H FAULKNER STATE JUNIOR COLLEGE,BAY MINETTE,AL
0039,JEFFERSON DAVIS STATE JUNIOR COLLEGE,BREWTON,AL
0047,JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL
0075,JOHN C CALHOUN STATE COMMUNITY COLLEGE,DECATUR,AL
0022,JUDSON COLLEGE,MARION,AL
0025,LOMAX-HANNON JUNIOR COLLEGE,GREENVILLE,AL
0081,LURLEEN B WALLACE STATE JUNIOR COLLEGE,ANDALUSIA,AL
0026,MARION MILITARY INSTITUTE,MARION,AL
0028,MILES COLLEGE,BIRMINGHAM,AL
0150,NAT'L EDUC CENTER-NIT CAMPUS-ALABAMA,HOMEWOOD,AL
0061,NORTHEAST ALABAMA STATE JUNIOR COLLEGE,RAINSVILLE,AL
0027,NORTHWEST-SHOALS COMMUNITY COLLEGE,PHIL CAMPBELL,AL
0030,OAKWOOD COLLEGE,HUNTSVILLE,AL
0055,PATRICK HENRY STATE JUNIOR COLLEGE,MONROEVILLE,AL
0016,SAMFORD UNIVERSITY,BIRMINGHAM,AL
0033,SELMA UNIVERSITY,SELMA,AL
0007,SHELTON STATE COMMUNITY COLLEGE,TUSCALOOSA,AL
0036,SNEAD STATE JUNIOR COLLEGE,BOAZ,AL
0037,"SONAT FOUNDATION INC, THE",BIRMINGHAM,AL
0038,SOUTHEASTERN BIBLE COLLEGE,BIRMINGHAM,AL
0040,SOUTHERN UNION STATE JUNIOR COLLEGE,WADLEY,AL
0071,SOUTHERN VOCATIONAL COLLEGE,TUSKEGEE,AL
0042,SPRING HILL COLLEGE,MOBILE,AL
0043,ST VINCENT'S SCHOOL OF NURSING,BIRMINGHAM,AL
0044,STILLMAN COLLEGE,TUSCALOOSA,AL
0031,SYLACAUGA HOSPITAL SCHOOL OF NURSING,SYLACAUGA,AL
0046,TALLADEGA COLLEGE,TALLADEGA,AL
0021,TENNESSEE VALLEY COLLEGE,DECATUR,AL
0078,THEODORE ALFRED LAWSON STATE COMM COLL,BIRMINGHAM,AL
0015,TROY STATE UNIVERSITY-DOTHAN/FT RUCKER,DOTHAN,AL
0133,TROY STATE UNIVERSITY-MONTGOMERY,MONTGOMERY,AL
0048,TROY STATE UNIVERSITY-TROY,TROY,AL
0050,TUSKEGEE UNIVERSITY,TUSKEGEE,AL
0060,UNIV OF ALABAMA CTR GADSDEN-UPPER DIV,GADSDEN,AL
0052,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL
0056,UNIVERSITY OF ALABAMA IN BIRMINGHAM,BIRMINGHAM,AL
0053,UNIVERSITY OF ALABAMA-HUNTSVILLE,HUNTSVILLE,AL
0029,UNIVERSITY OF MOBILE,MOBILE,AL
0004,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL
0014,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL
0059,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL
0024,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL
0034,US SPORTS ACADEMY,DAPHNE,AL
0054,WALKER COLLEGE,JASPER,AL
0083,WALLACE STATE COMMUNITY COLLEGE,HANCEVILLE,AL
0111,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR
0152,ARKANSAS BIBLE COLLEGE,HOT SPRINGS,AR
0157,ARKANSAS CHRISTIAN COLLEGE,FT SMITH,AR
0141,ARKANSAS COLLEGE OF TECHNOLOGY,LITTLE ROCK,AR
0116,ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR
0117,ARKANSAS STATE UNIVERSITY-BEEBE BRANCH,BEEBE,AR
0114,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR
0131,BAPTIST SYSTEM SCHOOL OF NURSING,LITTLE ROCK,AR
4717,CAPITAL CITY JUNIOR COLLEGE,LITTLE ROCK,AR
0119,CENTRAL BAPTIST COLLEGE,CONWAY,AR
0123,CITADEL BIBLE COLLEGE,OZARK,AR
0121,CROWLEY'S RIDGE COLLEGE,PARAGOULD,AR
0109,EAST ARKANSAS COMMUNITY COLLEGE,FORREST CITY,AR
0115,GARLAND COUNTY COMMUNITY COLLEGE,HOT SPRINGS,AR
0124,HARDING UNIVERSITY,SEARCY,AR
